COD_DEPARTAMENTO,DEPARTAMENTO,COD_MUNICIPIO,MUNICIPIO
16,ALTA VERAPAZ,14,CHAHAL
16,ALTA VERAPAZ,13,CHISEC
16,ALTA VERAPAZ,01,COBAN
16,ALTA VERAPAZ,15,FRAY BARTOLOME DE LAS CASAS
16,ALTA VERAPAZ,16,LA TINTA
16,ALTA VERAPAZ,11,LANQUIN
16,ALTA VERAPAZ,07,PANZOS
16,ALTA VERAPAZ,17,RAXRUHA
16,ALTA VERAPAZ,03,SAN CRISTOBAL VERAPAZ
16,ALTA VERAPAZ,10,SAN JUAN CHAMELCO
16,ALTA VERAPAZ,06,SAN MIGUEL TUCURU
16,ALTA VERAPAZ,09,SAN PEDRO CARCHA
16,ALTA VERAPAZ,02,SANTA CRUZ VERAPAZ
16,ALTA VERAPAZ,12,SANTA MARIA CAHABON
16,ALTA VERAPAZ,08,SENAHU
16,ALTA VERAPAZ,04,TACTIC
16,ALTA VERAPAZ,05,TAMAHU
15,BAJA VERAPAZ,04,CUBULCO
15,BAJA VERAPAZ,05,GRANADOS
15,BAJA VERAPAZ,08,PURULHA
15,BAJA VERAPAZ,03,RABINAL
15,BAJA VERAPAZ,01,SALAMA
15,BAJA VERAPAZ,07,SAN JERONIMO
15,BAJA VERAPAZ,02,SAN MIGUEL CHICAJ
15,BAJA VERAPAZ,06,SANTA CRUZ EL CHOL
04,CHIMALTENANGO,11,ACATENANGO
04,CHIMALTENANGO,01,CHIMALTENANGO
04,CHIMALTENANGO,16,EL TEJAR
04,CHIMALTENANGO,14,PARRAMOS
04,CHIMALTENANGO,09,PATZICIA
04,CHIMALTENANGO,07,PATZUN
04,CHIMALTENANGO,13,SAN ANDRES ITZAPA
04,CHIMALTENANGO,02,SAN JOSE POAQUIL
04,CHIMALTENANGO,04,SAN JUAN COMALAPA
04,CHIMALTENANGO,03,SAN MARTIN JILOTEPEQUE
04,CHIMALTENANGO,08,SAN MIGUEL POCHUTA
04,CHIMALTENANGO,12,SAN PEDRO YEPOCAPA
04,CHIMALTENANGO,05,SANTA APOLONIA
04,CHIMALTENANGO,10,SANTA CRUZ BALANYA
04,CHIMALTENANGO,06,TECPAN GUATEMALA
04,CHIMALTENANGO,15,ZARAGOZA
20,CHIQUIMULA,05,CAMOTAN
20,CHIQUIMULA,01,CHIQUIMULA
20,CHIQUIMULA,08,CONCEPCION LAS MINAS
20,CHIQUIMULA,07,ESQUIPULAS
20,CHIQUIMULA,11,IPALA
20,CHIQUIMULA,04,JOCOTAN
20,CHIQUIMULA,06,OLOPA
20,CHIQUIMULA,09,QUEZALTEPEQUE
20,CHIQUIMULA,10,SAN JACINTO
20,CHIQUIMULA,02,SAN JOSE LA ARADA
20,CHIQUIMULA,03,SAN JUAN ERMITA
00,CIUDAD CAPITAL,01,ZONA 1
00,CIUDAD CAPITAL,10,ZONA 10
00,CIUDAD CAPITAL,11,ZONA 11
00,CIUDAD CAPITAL,12,ZONA 12
00,CIUDAD CAPITAL,13,ZONA 13
00,CIUDAD CAPITAL,14,ZONA 14
00,CIUDAD CAPITAL,15,ZONA 15
00,CIUDAD CAPITAL,16,ZONA 16
00,CIUDAD CAPITAL,17,ZONA 17
00,CIUDAD CAPITAL,18,ZONA 18
00,CIUDAD CAPITAL,19,ZONA 19
00,CIUDAD CAPITAL,02,ZONA 2
00,CIUDAD CAPITAL,21,ZONA 21
00,CIUDAD CAPITAL,24,ZONA 24
00,CIUDAD CAPITAL,25,ZONA 25
00,CIUDAD CAPITAL,03,ZONA 3
00,CIUDAD CAPITAL,04,ZONA 4
00,CIUDAD CAPITAL,05,ZONA 5
00,CIUDAD CAPITAL,06,ZONA 6
00,CIUDAD CAPITAL,07,ZONA 7
00,CIUDAD CAPITAL,08,ZONA 8
00,CIUDAD CAPITAL,09,ZONA 9
02,EL PROGRESO,05,EL JICARO
02,EL PROGRESO,01,GUASTATOYA
02,EL PROGRESO,02,MORAZAN
02,EL PROGRESO,03,SAN AGUSTIN ACASAGUASTLAN
02,EL PROGRESO,08,SAN ANTONIO LA PAZ
02,EL PROGRESO,04,SAN CRISTOBAL ACASAGUASTLAN
02,EL PROGRESO,07,SANARATE
02,EL PROGRESO,06,SANSARE
05,ESCUINTLA,01,ESCUINTLA
05,ESCUINTLA,08,GUANAGAZAPA
05,ESCUINTLA,10,IZTAPA
05,ESCUINTLA,03,LA DEMOCRACIA
05,ESCUINTLA,07,LA GOMERA
05,ESCUINTLA,05,MASAGUA
05,ESCUINTLA,13,NUEVA CONCEPCION
05,ESCUINTLA,11,PALIN
05,ESCUINTLA,09,SAN JOSE
05,ESCUINTLA,12,SAN VICENTE PACAYA
05,ESCUINTLA,02,SANTA LUCIA COTZUMALGUAPA
05,ESCUINTLA,14,SIPACATE
05,ESCUINTLA,04,SIQUINALA
05,ESCUINTLA,06,TIQUISATE
01,GUATEMALA,14,AMATITLAN
01,GUATEMALA,06,CHINAUTLA
01,GUATEMALA,12,CHUARRANCHO
01,GUATEMALA,13,FRAIJANES
01,GUATEMALA,01,GUATEMALA
01,GUATEMALA,08,MIXCO
01,GUATEMALA,05,PALENCIA
01,GUATEMALA,04,SAN JOSE DEL GOLFO
01,GUATEMALA,03,SAN JOSE PINULA
01,GUATEMALA,10,SAN JUAN SACATEPEQUEZ
01,GUATEMALA,17,SAN MIGUEL PETAPA
