CODIGO,DEPARTAMENTO,ESTADO,FILAS,ERROR,FECHA_EXTRACCION
16,ALTA_VERAPAZ,OK,476,,2026-07-18
15,BAJA_VERAPAZ,OK,172,,2026-07-18
04,CHIMALTENANGO,OK,436,,2026-07-18
20,CHIQUIMULA,OK,240,,2026-07-18
00,CIUDAD_CAPITAL,OK,2162,,2026-07-18
02,EL_PROGRESO,OK,159,,2026-07-18
05,ESCUINTLA,OK,709,,2026-07-18
01,GUATEMALA,OK,1909,,2026-07-18
13,HUEHUETENANGO,OK,592,,2026-07-18
18,IZABAL,OK,414,,2026-07-18
21,JALAPA,OK,184,,2026-07-18
22,JUTIAPA,OK,393,,2026-07-18
17,PETEN,OK,517,,2026-07-18
09,QUETZALTENANGO,OK,552,,2026-07-18
14,QUICHE,OK,323,,2026-07-18
11,RETALHULEU,OK,365,,2026-07-18
03,SACATEPEQUEZ,OK,431,,2026-07-18
12,SAN_MARCOS,OK,725,,2026-07-18
06,SANTA_ROSA,OK,214,,2026-07-18
07,SOLOLA,OK,193,,2026-07-18
10,SUCHITEPEQUEZ,OK,438,,2026-07-18
08,TOTONICAPAN,OK,129,,2026-07-18
19,ZACAPA,OK,157,,2026-07-18
