fase,variable,problema_detectado,transformacion,registros_afectados,justificacion
Fase 1 - Identificadores,(todas),"23 filas 100% vacías (una por archivo/departamento, artefacto del GridView de la fuente)",Eliminar filas completamente vacías,23,No aportan ningún dato y distorsionan cualquier estadística; documentadas en el diagnóstico antes de eliminarlas.
Fase 1 - Identificadores,CODIGO,Ninguno (ya cumple el patrón y es único en el 100% de las filas),Sin cambios; se verifica el patrón ##-##-####-## y la unicidad como prueba de calidad,0,No hay nada que corregir; se documenta la verificación para la Actividad 7.
Fase 1 - Identificadores,DISTRITO,532 celdas vacías; 3 formatos distintos conviviendo en el campo,Trim/colapso de espacios y conversión de vacíos a NA explícito; se preserva como texto libre (no se fuerza un patrón único),532,Forzar un solo formato numérico inventaría dígitos que no están en la fuente (ver docs/02_Plan_de_Limpieza.md).
Fase 1 - Identificadores,DEPARTAMENTO,Ninguno (100% dentro del catálogo oficial del propio sitio),Trim + mayúsculas defensivo; se valida contra data/catalogo_departamentos_municipios.csv,0,"Campo de <select> en la fuente, no texto libre digitado; se mantienen GUATEMALA y CIUDAD CAPITAL como categorías separadas (convención real de la fuente, ver docs/02)."
Fase 1 - Identificadores,MUNICIPIO,"Ninguno (100% de los pares (DEPARTAMENTO, MUNICIPIO) existen en el catálogo oficial)",Trim + mayúsculas defensivo; se valida el par completo contra el catálogo,0,"Mismo argumento que DEPARTAMENTO: campo de <select>, no texto libre."
Fase 1 - Identificadores,DEPARTAMENTAL,Sin explorar a fondo en el diagnóstico (26 valores únicos),Trim + mayúsculas + colapso de espacios; vacíos a NA,0,Normalización defensiva estándar; no se detectaron variantes de escritura evidentes tras normalizar.
Fase 1 - Identificadores,NIVEL,"Ninguno (dominio cerrado, ya consistente)","Trim + mayúsculas defensivo; se castea a tipo 'category' (tipo apropiado para una variable categórica de dominio cerrado, en vez de texto genérico)",0,"Se verifica que el conjunto de categorías sea exactamente ['DIVERSIFICADO']; SIN ESPECIFICAR/SIN JORNADA se mantienen como categoría propia, no se recodifican a NA (ver docs/02)."
Fase 1 - Identificadores,SECTOR,"Ninguno (dominio cerrado, ya consistente)","Trim + mayúsculas defensivo; se castea a tipo 'category' (tipo apropiado para una variable categórica de dominio cerrado, en vez de texto genérico)",0,"Se verifica que el conjunto de categorías sea exactamente ['COOPERATIVA', 'MUNICIPAL', 'OFICIAL', 'PRIVADO']; SIN ESPECIFICAR/SIN JORNADA se mantienen como categoría propia, no se recodifican a NA (ver docs/02)."
Fase 1 - Identificadores,AREA,"Ninguno (dominio cerrado, ya consistente)","Trim + mayúsculas defensivo; se castea a tipo 'category' (tipo apropiado para una variable categórica de dominio cerrado, en vez de texto genérico)",0,"Se verifica que el conjunto de categorías sea exactamente ['RURAL', 'SIN ESPECIFICAR', 'URBANA']; SIN ESPECIFICAR/SIN JORNADA se mantienen como categoría propia, no se recodifican a NA (ver docs/02)."
Fase 1 - Identificadores,STATUS,"Ninguno (dominio cerrado, ya consistente)","Trim + mayúsculas defensivo; se castea a tipo 'category' (tipo apropiado para una variable categórica de dominio cerrado, en vez de texto genérico)",0,"Se verifica que el conjunto de categorías sea exactamente ['ABIERTA', 'CERRADA DEFINITIVAMENTE', 'CERRADA TEMPORALMENTE', 'TEMPORAL NOMBRAMIENTO', 'TEMPORAL TITULOS']; SIN ESPECIFICAR/SIN JORNADA se mantienen como categoría propia, no se recodifican a NA (ver docs/02)."
