municipio,codigo_1,establecimiento_1,codigo_2,establecimiento_2,similitud,nota
AGUA BLANCA,22-04-0035-46,LICEO JUAN PABLO II,22-04-0057-46,LICEO SAN JUAN PABLO II,90.5,"REVISAR: posible duplicado verdadero (nombre, dirección, jornada y plan coinciden)"
AGUA BLANCA,22-04-0035-46,LICEO JUAN PABLO II,22-04-0058-46,LICEO SAN JUAN PABLO II,90.5,NO ES DUPLICADO: mismo colegio con jornada/plan distintos (autorización legítima independiente)
AGUA BLANCA,22-04-0035-46,LICEO JUAN PABLO II,22-04-0059-46,LICEO SAN JUAN PABLO II,90.5,NO ES DUPLICADO: mismo colegio con jornada/plan distintos (autorización legítima independiente)
AGUA BLANCA,22-04-0038-46,LICEO JUAN PABLO II,22-04-0057-46,LICEO SAN JUAN PABLO II,90.5,NO ES DUPLICADO: mismo colegio con jornada/plan distintos (autorización legítima independiente)
AGUA BLANCA,22-04-0038-46,LICEO JUAN PABLO II,22-04-0058-46,LICEO SAN JUAN PABLO II,90.5,"REVISAR: posible duplicado verdadero (nombre, dirección, jornada y plan coinciden)"
AGUA BLANCA,22-04-0038-46,LICEO JUAN PABLO II,22-04-0059-46,LICEO SAN JUAN PABLO II,90.5,NO ES DUPLICADO: mismo colegio con jornada/plan distintos (autorización legítima independiente)
AGUA BLANCA,22-04-0047-46,LICEO JUAN PABLO II,22-04-0057-46,LICEO SAN JUAN PABLO II,90.5,NO ES DUPLICADO: mismo colegio con jornada/plan distintos (autorización legítima independiente)
AGUA BLANCA,22-04-0047-46,LICEO JUAN PABLO II,22-04-0058-46,LICEO SAN JUAN PABLO II,90.5,NO ES DUPLICADO: mismo colegio con jornada/plan distintos (autorización legítima independiente)
AGUA BLANCA,22-04-0047-46,LICEO JUAN PABLO II,22-04-0059-46,LICEO SAN JUAN PABLO II,90.5,"REVISAR: posible duplicado verdadero (nombre, dirección, jornada y plan coinciden)"
AGUACATAN,13-27-0058-46,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,13-27-0067-46,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,97.8,"REVISAR: nombre muy similar, confirmar manualmente"
AGUACATAN,13-27-0058-46,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,13-27-0076-46,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,97.8,"REVISAR: nombre muy similar, confirmar manualmente"
AGUACATAN,13-27-0058-46,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,13-27-0090-46,INED INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,94.7,"REVISAR: nombre muy similar, confirmar manualmente"
AGUACATAN,13-27-0058-46,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,13-27-0091-46,INED INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,94.7,"REVISAR: posible duplicado verdadero (nombre, dirección, jornada y plan coinciden)"
AGUACATAN,13-27-0067-46,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,13-27-0090-46,INED INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,92.6,"REVISAR: posible duplicado verdadero (nombre, dirección, jornada y plan coinciden)"
AGUACATAN,13-27-0067-46,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,13-27-0091-46,INED INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,92.6,"REVISAR: nombre muy similar, confirmar manualmente"
AGUACATAN,13-27-0076-46,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,13-27-0090-46,INED INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,92.6,"REVISAR: nombre muy similar, confirmar manualmente"
AGUACATAN,13-27-0076-46,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,13-27-0091-46,INED INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,92.6,"REVISAR: nombre muy similar, confirmar manualmente"
ALMOLONGA,09-13-0006-46,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,09-13-0010-46,INED INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,92.6,"REVISAR: nombre muy similar, confirmar manualmente"
AMATITLAN,01-14-0013-46,INSTITUTO PRIVADO MIXTO DE COMPUTACION INFORMATICA ICI,01-14-0016-46,INSTITUTO PRIVADO MIXTO DE COMPUTACION INFORMATICA,96.2,NO ES DUPLICADO: mismo colegio con jornada/plan distintos (autorización legítima independiente)
AMATITLAN,01-14-0014-46,INSTITUTO PRIVADO MIXTO DE COMPUTACION INFORMATICA ICI,01-14-0016-46,INSTITUTO PRIVADO MIXTO DE COMPUTACION INFORMATICA,96.2,NO ES DUPLICADO: mismo colegio con jornada/plan distintos (autorización legítima independiente)
AMATITLAN,01-14-0016-46,INSTITUTO PRIVADO MIXTO DE COMPUTACION INFORMATICA,01-14-0018-46,INSTITUTO PRIVADO MIXTO DE COMPUTACION INFORMATICA ICI,96.2,"REVISAR: posible duplicado verdadero (nombre, dirección, jornada y plan coinciden)"
AMATITLAN,01-14-0023-46,COLEGIO BILINGUE CORBAN,01-14-0204-46,COLEGIO BILINGUE CORBÁN,95.7,"REVISAR: nombre muy similar, confirmar manualmente"
AMATITLAN,01-14-0023-46,COLEGIO BILINGUE CORBAN,01-14-0206-46,COLEGIO BILINGUE CORBÁN,95.7,NO ES DUPLICADO: mismo colegio con jornada/plan distintos (autorización legítima independiente)
AMATITLAN,01-14-0025-46,COLEGIO FORMACION INTEGRAL DE AMATITLAN,01-14-8332-46,COLEGIO FORMACION INTEGRAL DE AMATITLÁN,97.4,NO ES DUPLICADO: mismo colegio con jornada/plan distintos (autorización legítima independiente)
AMATITLAN,01-14-0027-46,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,01-14-0183-46,INSTITUTO NACIONAL DE EDUCACION BASICA Y DIVERSIFICADA,90.9,NO ES DUPLICADO: mismo colegio con jornada/plan distintos (autorización legítima independiente)
AMATITLAN,01-14-0027-46,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,01-14-0217-46,INED INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,92.6,"REVISAR: nombre muy similar, confirmar manualmente"
AMATITLAN,01-14-0053-46,LICEO CRISTIANO BETH SHALOM,01-14-0156-46,LICEO CRISTIANO BETH SHALOM SUR,93.1,NO ES DUPLICADO: mismo colegio con jornada/plan distintos (autorización legítima independiente)
AMATITLAN,01-14-0053-46,LICEO CRISTIANO BETH SHALOM,01-14-0157-46,LICEO CRISTIANO BETH SHALOM SUR,93.1,NO ES DUPLICADO: mismo colegio con jornada/plan distintos (autorización legítima independiente)
AMATITLAN,01-14-0054-46,LICEO CRISTIANO BETH SHALOM,01-14-0156-46,LICEO CRISTIANO BETH SHALOM SUR,93.1,NO ES DUPLICADO: mismo colegio con jornada/plan distintos (autorización legítima independiente)
AMATITLAN,01-14-0054-46,LICEO CRISTIANO BETH SHALOM,01-14-0157-46,LICEO CRISTIANO BETH SHALOM SUR,93.1,NO ES DUPLICADO: mismo colegio con jornada/plan distintos (autorización legítima independiente)
AMATITLAN,01-14-0068-46,INSTITUTO NACIONAL DE EDUCACION BASICA Y DIVERSIFICADO,01-14-0183-46,INSTITUTO NACIONAL DE EDUCACION BASICA Y DIVERSIFICADA,98.1,NO ES DUPLICADO: mismo colegio con jornada/plan distintos (autorización legítima independiente)
AMATITLAN,01-14-0070-46,LICEO CRISTIANO ANTIOQUIA,01-14-3055-46,LICEO CRISTIANO ANTIOQUÍA,96.0,"REVISAR: nombre muy similar, confirmar manualmente"
AMATITLAN,01-14-0085-46,LICEO CRISTIANO BETH SHALOM,01-14-0156-46,LICEO CRISTIANO BETH SHALOM SUR,93.1,"REVISAR: nombre muy similar, confirmar manualmente"
